Country,Unnamed: 1,Notes,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,year,value
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,
North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,
Algeria,,§4,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,278.22325550855373,259.93219586522173,254.83676577341956,246.6489190716601,255.55856842195513,489.9312421703006,546.1062004020322,761.1146696249211,664.2141202079644,719.5059329029261,711.6485364363018,809.4387515828157,719.4128811490812,830.6068093694437,834.9107456082405,784.0821008763489,734.5177570625874,722.7939323912987,736.832889735767,1988,729.1428052712647
Libya,,‡§¶16,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,64.07719422180072,77.97591495670582,139.60927827316047,176.8079136863551,211.46658972134952,288.6433456916326,516.5279066937334,533.0718841068768,411.6094675984379,511.5354836789871,679.740121049741,415.29030169895924,446.3983350164586,617.420613832352,726.2401495051233,903.8241057222708,1036.4852158899932,483.63361961893554,558.2627906675712,...,...,...,...,...,1988,...
Morocco,,§17,...,...,...,...,...,...,...,118.75056936778422,173.1133414528958,230.4146228237819,268.58483379662147,267.96644951922667,305.605206621996,324.3515411711705,426.79034825886635,383.4414317949901,334.4448229928204,363.3387287929549,379.07054243582184,487.6796486704099,442.8127000150275,457.55488939131203,548.6376343112328,606.85277781648,689.7011369306956,812.7634735197047,1193.4626864240263,1675.2007835588918,1921.1077523549566,1711.1140133951267,1714.9530958142736,1973.8086347551625,2011.7666676376703,2084.5439392825374,1517.1117530386928,1363.6700969026374,1953.5673607526935,1710.2791794617408,1711.28195167623,1988,1846.7917609162623
Tunisia,,,...,...,...,...,...,...,...,...,...,...,...,...,75.92669639653565,57.867845176610935,58.091634245980785,70.07116711145578,55.00466322588616,57.66448987652505,61.803616742662086,69.33879689721782,66.12696605151041,84.49996618195786,87.75815842355537,99.0639810570858,97.34023434086072,98.61891090914538,140.18396112984522,161.91080490856135,214.10423515285285,238.10885019546254,228.24087550134465,243.16721898113929,321.0106415858173,485.0787844300856,596.9600923186758,408.12860691320714,353.82101801777526,303.68469485550395,275.30511201472075,1988,318.5166308269903
sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,
Angola,,§‖1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1988,246.0145577142836
Benin,,§,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,16.729146140810652,16.71667140140232,18.249977608157074,19.812267029726033,18.7371871536505,17.832578487355185,15.57506930906879,20.63325356535016,14.732779034893504,26.110634374896595,31.387418199149938,29.142668162287055,32.62387872303384,43.22264372944161,53.731888312359445,50.945179398115954,51.87523489492626,61.82438960704718,1988,61.44180841435555
Botswana,,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,15.914023130705107,36.3435090075479,54.496100782146904,59.796920065183166,54.10910186922117,45.279180289646476,45.33704990849973,52.76839607661571,57.5290228085284,84.40391479926413,147.77719783911598,1988,188.6251547319979
